vx	vy	vz	score	numLines
0.53207886	0.84665474	0.00823612	189.35	11
0.18715063	0.98232273	0.00408722	125.30	14
0.91536337	0.40161380	0.02857022	107.79	16

nLines	x1	y1	x2	y2	length
11
	77.09	7.93	77.81	3.67	4.32
	25.29	9.65	26.91	14.08	4.71
	67.67	67.93	71.55	20.03	48.06
	67.46	30.97	66.92	37.02	6.07
	89.96	35.97	74.47	76.99	43.85
	35.34	39.17	41.03	50.99	13.11
	117.13	42.08	113.41	46.39	5.69
	77.44	42.99	70.08	75.11	32.96
	88.17	58.04	79.07	75.25	19.46
	98.96	101.73	105.77	101.53	6.82
	100.00	108.91	107.05	109.65	7.09
14
	77.09	7.93	77.81	3.67	4.32
	60.60	13.17	60.38	21.89	8.72
	97.77	19.26	99.11	14.62	4.83
	67.67	67.93	71.55	20.03	48.06
	52.97	21.00	51.71	70.71	49.73
	93.71	45.03	88.02	67.01	22.70
	67.46	30.97	66.92	37.02	6.07
	30.50	54.01	29.34	43.95	10.13
	61.41	40.14	60.15	53.98	13.90
	33.60	42.84	33.71	52.12	9.28
	113.88	51.89	115.59	47.58	4.63
	10.15	79.02	10.99	84.00	5.05
	29.12	76.00	29.51	82.01	6.02
	9.24	81.06	10.57	88.02	7.09
16
	95.91	4.71	101.92	3.89	6.06
	83.01	20.66	87.68	21.33	4.72
	47.95	49.01	37.30	25.52	25.79
	34.53	36.20	33.54	29.00	7.26
	11.18	32.72	5.64	37.73	7.46
	115.06	33.89	119.01	34.92	4.09
	33.60	42.84	33.71	52.12	9.28
	43.95	66.00	45.77	74.03	8.23
	103.97	78.57	112.85	86.57	11.96
	115.97	109.00	118.96	112.14	4.33
	55.63	93.38	57.22	98.05	4.94
	102.03	93.92	105.34	98.04	5.28
	17.08	99.03	14.91	109.98	11.16
	93.38	98.64	98.21	105.10	8.06
	13.05	101.05	11.53	108.96	8.05
	31.01	107.00	30.68	111.02	4.03
