vx	vy	vz	score	numLines
0.99975996	-0.02190287	0.00053531	231.76	17
0.95874228	0.28420077	0.00656980	77.53	16

nLines	x1	y1	x2	y2	length
17
	59.09	9.52	70.02	9.28	10.93
	53.04	20.82	82.01	19.69	28.99
	63.02	15.38	69.97	15.39	6.95
	4.01	20.93	25.95	19.87	21.97
	29.03	20.74	45.03	20.53	16.01
	57.06	24.32	75.13	23.38	18.09
	8.94	32.12	17.91	32.27	8.98
	65.14	35.45	81.99	35.05	16.86
	3.96	38.11	23.03	37.87	19.08
	4.17	41.69	16.91	41.82	12.74
	19.02	41.97	25.01	41.78	5.99
	46.08	43.48	5.02	45.81	41.13
	47.87	46.14	55.00	45.99	7.13
	57.97	51.14	40.01	52.08	17.99
	21.06	53.53	25.02	53.07	3.99
	43.11	57.46	51.00	57.05	7.90
	20.53	60.42	25.02	59.90	4.52
16
	20.98	25.58	27.39	26.58	6.49
	7.13	28.83	26.02	29.85	18.92
	8.94	32.12	17.91	32.27	8.98
	30.04	36.66	46.06	37.64	16.06
	50.00	37.37	75.94	38.84	25.99
	3.96	38.11	23.03	37.87	19.08
	4.17	41.69	16.91	41.82	12.74
	19.02	41.97	25.01	41.78	5.99
	46.08	43.48	5.02	45.81	41.13
	48.94	42.74	54.00	42.97	5.06
	47.87	46.14	55.00	45.99	7.13
	57.97	51.14	40.01	52.08	17.99
	21.06	53.53	25.02	53.07	3.99
	60.60	61.47	76.04	58.20	15.78
	20.53	60.42	25.02	59.90	4.52
	48.05	64.78	56.00	63.00	8.14
