vx	vy	vz	score	numLines
0.87503619	-0.48396580	0.00942170	145.08	14
-0.27415574	0.96168489	-0.00089396	130.25	16
0.00756771	0.99996289	-0.00411687	102.30	10

nLines	x1	y1	x2	y2	length
14
	81.71	4.05	78.01	27.00	23.25
	28.92	18.96	37.18	10.20	12.04
	75.99	5.99	74.63	10.05	4.28
	107.09	10.92	109.19	17.86	7.25
	83.88	11.70	82.85	20.01	8.37
	76.57	16.37	74.38	23.95	7.89
	104.49	16.98	106.68	26.16	9.44
	29.43	31.02	36.11	22.29	10.99
	90.90	23.05	90.71	27.90	4.85
	18.39	29.28	3.95	44.92	21.28
	101.42	52.91	103.38	83.05	30.21
	58.00	56.00	57.08	59.07	3.21
	34.08	82.10	32.14	86.12	4.46
	87.56	96.26	87.24	105.99	9.73
16
	20.16	24.04	25.75	3.78	21.02
	81.71	4.05	78.01	27.00	23.25
	89.17	11.94	87.16	23.26	11.49
	96.02	18.02	94.59	23.91	6.06
	55.12	22.06	53.83	27.97	6.05
	50.34	31.23	48.53	39.02	8.00
	25.95	39.98	23.05	50.02	10.45
	94.04	42.02	91.80	52.93	11.14
	89.20	46.08	88.23	50.02	4.06
	46.25	52.79	45.07	58.00	5.35
	55.97	49.01	52.48	65.98	17.33
	24.72	50.98	23.62	56.09	5.23
	15.80	54.94	11.55	72.00	17.58
	32.63	73.02	29.24	84.16	11.64
	38.55	62.97	36.68	70.75	8.00
	122.31	76.29	120.82	85.10	8.93
10
	15.83	10.17	17.60	23.99	13.93
	111.55	23.97	112.80	27.32	3.57
	31.46	31.98	34.25	56.97	25.14
	69.78	47.06	77.52	76.00	29.96
	7.63	56.74	7.66	50.14	6.60
	51.99	66.99	54.27	78.94	12.16
	97.09	53.85	99.01	60.00	6.44
	119.72	67.05	121.98	72.03	5.47
	88.89	91.05	92.02	105.00	14.30
	120.93	94.01	122.18	97.95	4.13
