vx	vy	vz	score	numLines
0.41987204	0.90758322	-0.00041956	166.17	19
-0.67299883	-0.73964287	0.00099752	109.47	17
0.94010050	0.34082607	-0.00697349	104.36	14

nLines	x1	y1	x2	y2	length
19
	45.43	11.88	48.68	18.01	6.94
	37.28	18.00	40.06	24.97	7.50
	102.53	30.62	98.68	24.04	7.62
	114.80	24.08	117.80	30.06	6.69
	113.96	33.08	112.27	29.91	3.59
	38.41	31.68	37.19	28.88	3.06
	30.00	39.99	32.24	44.06	4.64
	134.98	41.99	138.94	51.14	9.97
	15.78	46.09	18.89	51.95	6.64
	27.02	54.51	28.72	58.20	4.06
	79.60	63.19	94.78	93.07	33.51
	78.55	67.86	90.23	93.76	28.41
	75.12	68.95	86.15	90.85	24.51
	93.37	70.75	104.00	93.00	24.66
	105.62	78.93	110.86	88.07	10.54
	25.42	80.03	30.66	90.92	12.09
	20.38	100.81	16.10	90.97	10.74
	10.56	98.97	12.43	103.01	4.45
	33.94	104.99	37.86	114.62	10.39
17
	51.74	7.95	55.06	11.36	4.76
	59.98	19.58	63.40	22.73	4.65
	27.84	24.05	32.99	29.52	7.51
	61.06	24.89	64.55	28.27	4.86
	58.95	31.69	70.00	42.85	15.70
	68.77	36.18	71.44	39.03	3.91
	154.07	45.92	156.99	49.01	4.25
	144.11	46.92	152.33	54.72	11.33
	93.99	55.67	103.90	66.13	14.40
	120.02	74.47	123.58	77.86	4.92
	131.01	53.98	134.08	56.95	4.27
	81.05	55.68	92.56	68.47	17.21
	38.62	59.29	41.58	63.02	4.77
	5.98	70.17	3.51	67.17	3.88
	40.10	71.90	47.14	79.95	10.70
	25.14	95.45	21.98	92.02	4.66
	118.18	110.75	122.43	115.00	6.01
14
	81.96	7.13	90.25	8.94	8.49
	104.04	20.31	113.77	23.17	10.15
	81.98	22.03	84.97	23.04	3.15
	56.77	36.88	60.39	38.82	4.11
	146.91	46.38	154.48	48.71	7.91
	159.94	46.07	162.83	47.18	3.10
	122.83	47.89	127.76	49.55	5.21
	104.36	66.64	118.91	73.66	16.15
	93.08	68.92	107.00	75.99	15.61
	100.01	56.96	121.11	66.83	23.29
	4.06	60.89	8.99	65.00	6.42
	127.48	60.53	130.98	61.93	3.77
	7.99	75.82	16.07	82.72	10.63
	22.55	99.43	27.03	103.97	6.37
