vx	vy	vz	score	numLines
-0.99937954	0.03521922	0.00038081	192.53	26
0.95399046	0.29981881	0.00330081	130.22	18
-0.59876905	-0.80090410	-0.00531391	124.41	10

nLines	x1	y1	x2	y2	length
26
	31.72	19.58	36.45	19.70	4.74
	16.97	28.42	25.04	28.23	8.08
	38.03	27.37	41.94	27.25	3.91
	20.00	50.58	55.95	49.89	35.96
	10.98	63.97	17.94	63.42	6.99
	21.12	63.42	33.01	63.42	11.89
	12.01	66.18	17.00	65.79	5.01
	8.76	73.64	24.99	73.11	16.24
	19.03	79.59	24.98	79.42	5.95
	28.00	79.60	37.96	79.63	9.97
	25.00	86.94	19.97	86.66	5.04
	13.00	86.94	18.00	86.61	5.01
	76.13	87.71	89.00	88.08	12.87
	9.03	89.49	24.97	89.63	15.94
	9.98	95.45	18.96	95.75	8.99
	17.03	100.49	24.00	100.73	6.98
	73.91	107.35	83.02	106.90	9.12
	9.98	110.42	21.96	110.64	11.99
	82.93	109.73	86.91	109.74	3.98
	87.97	111.63	95.96	111.46	8.00
	70.85	116.56	85.94	116.60	15.09
	76.84	121.18	81.04	121.33	4.21
	43.63	137.35	39.24	137.14	4.40
	98.98	147.48	106.01	147.89	7.04
	82.08	147.90	89.84	147.80	7.76
	71.03	143.58	78.01	143.23	6.99
18
	30.05	29.06	34.22	30.07	4.28
	17.85	32.10	23.00	32.90	5.21
	25.01	44.11	50.02	48.31	25.37
	15.95	68.48	25.00	69.76	9.14
	77.05	77.72	96.73	79.36	19.75
	9.02	78.94	16.97	79.48	7.97
	28.00	79.60	37.96	79.63	9.97
	25.00	86.94	19.97	86.66	5.04
	76.13	87.71	89.00	88.08	12.87
	9.03	89.49	24.97	89.63	15.94
	9.98	95.45	18.96	95.75	8.99
	73.91	107.35	83.02	106.90	9.12
	86.00	114.97	96.12	113.80	10.19
	83.03	120.22	93.00	118.67	10.08
	78.00	123.94	96.91	120.55	19.20
	100.99	123.30	75.18	127.45	26.14
	57.17	134.49	68.06	133.19	10.97
	60.06	136.45	53.00	138.03	7.24
10
	34.02	36.97	36.93	41.01	4.98
	41.99	105.01	31.09	97.87	13.03
	34.01	93.96	39.21	97.78	6.45
	103.89	95.07	105.57	105.10	10.17
	78.41	110.02	81.88	114.03	5.30
	53.72	111.29	72.32	122.47	21.70
	107.05	110.99	107.62	115.02	4.07
	54.66	120.30	63.97	125.59	10.71
	108.10	116.98	109.59	126.97	10.10
	24.01	140.91	79.02	146.94	55.34
