vx	vy	vz	score	numLines
0.99982903	0.01847505	-0.00075884	135.99	16
-0.98061305	-0.19592161	-0.00357382	103.51	18

nLines	x1	y1	x2	y2	length
16
	58.02	4.35	67.19	4.68	9.18
	94.03	6.14	111.01	6.43	16.98
	113.15	9.77	120.00	9.99	6.86
	43.99	12.80	49.01	13.15	5.04
	14.24	15.24	20.37	15.63	6.15
	6.97	16.73	17.96	16.87	10.99
	25.92	18.84	30.02	18.92	4.10
	109.99	25.99	115.78	26.23	5.79
	15.20	36.25	20.87	36.50	5.67
	32.38	36.49	40.10	37.32	7.77
	35.00	42.00	48.07	42.66	13.08
	76.11	49.11	81.86	49.36	5.75
	108.96	82.63	90.58	81.51	18.42
	37.09	82.93	55.96	84.82	18.96
	58.99	69.71	68.00	70.03	9.02
	82.11	87.40	90.04	88.36	7.99
18
	9.02	6.07	13.02	7.05	4.12
	84.25	5.56	90.01	6.72	5.87
	123.03	9.91	129.09	11.72	6.33
	40.00	21.01	53.06	22.89	13.20
	129.97	24.20	134.98	25.30	5.13
	126.98	33.22	139.93	35.12	13.08
	15.20	36.25	20.87	36.50	5.67
	32.38	36.49	40.10	37.32	7.77
	35.00	42.00	48.07	42.66	13.08
	76.11	49.11	81.86	49.36	5.75
	140.01	58.16	132.99	58.75	7.04
	56.05	62.43	71.95	61.77	15.91
	131.78	78.89	110.00	82.21	22.04
	23.10	64.43	27.96	63.94	4.88
	134.17	80.74	139.98	79.33	5.97
	8.99	85.47	14.06	84.72	5.12
	24.05	87.16	35.98	85.68	12.02
	104.72	90.79	115.08	88.19	10.68
